NRO_ORDEN;FECHA_ORDEN;FECHA_RECEP;NRO_RUC;NOMBRE_PROVEEDOR;PRODUCTO;UNIDAD_DE_MEDIDA;CANTIDAD;PRECIO_UNITARIO;PRECIO_TOTAL;CATEGORIA;DEPENDENCIA
205;5/08/2021;29/10/2021;20563651921;CIMA_BOOK_S.A.C.;LIBRO_FUNDAMENTOS_DE_LAS_LENGUAS_DE_SIGNOS;UNIDAD;;114.7;229.4;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
277;11/11/2021;1/12/2021;20112949101;FUNDACION_DEL_LIBRO_UNIVERSITARIO-LIBUN;LIBRO_LAS_FLORES_DE_MI_JARDOçN;UNIDAD;8;28.6;228.8;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
225;5/08/2021;29/10/2021;20112949101;FUNDACION_DEL_LIBRO_UNIVERSITARIO-LIBUN;LIBRO_ISMANDRO;UNIDAD;;25.4;228.6;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
183;15/10/2020;30/12/2020;20134944871;SAN_CRISTOBAL_LIBROS_S.A.C.;LIBRO_ADIOS_A_LA_REVOLUCION;UNIDAD;6;38;228;DESARROLLO_DE_COLECCIONES;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
183;15/10/2020;30/12/2020;20134944871;SAN_CRISTOBAL_LIBROS_S.A.C.;LIBRO_ALGOöN_DOçA_ESTE_PAOçS_SEROÅ_MOçO;UNIDAD;6;38;228;DESARROLLO_DE_COLECCIONES;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
183;15/10/2020;30/12/2020;20134944871;SAN_CRISTOBAL_LIBROS_S.A.C.;LIBRO_ALGOöN_DOçA_TE_MOSTRARE_EL_DESIERTO:_DIARIO_DE_PATERNIDAD;UNIDAD;6;38;228;DESARROLLO_DE_COLECCIONES;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
183;15/10/2020;30/12/2020;20134944871;SAN_CRISTOBAL_LIBROS_S.A.C.;LIBRO_CONVERSACION_EN_PRINCETON_CON_RUBEN_GALLO;UNIDAD;6;38;228;DESARROLLO_DE_COLECCIONES;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
218;5/08/2021;29/10/2021;20338974991;EDITORIAL_PLANETA_S.A.;LIBRO_EL_CASO_BANCHERO;UNIDAD;;38;228;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
249;15/10/2021;17/11/2021;20535555860;CORPORACION_CANESPA_SAC;LIBRO_EL_TALISMOÅN;UNIDAD;;76;228;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
249;15/10/2021;;20535555860;CORPORACION_CANESPA_SAC;LIBRO_MAMOÅ_¬øPOR_QUE_TENGO_QUE_PORTARME_BIEN?;UNIDAD;;76;228;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
